MESANO,DESCRIÇÃO,PREÇO UNIT,QUANTIDADE
2018-05-01,CEFTRIAXONA 500 MG IM,"8,40","200,00"
2018-05-01,DESOGESTREL 75 MCG CAIXA,"16,90","300,00"
2018-05-01,NORIPURUM 50MG/ML 30 ML,"29,50","50,00"
2018-05-01,PERICINAZINA 10 MG .,"0,29","2.000,00"
2018-05-01,TIMOMODULINA 200MG 120ML XPE,"69,50","10,00"
2018-05-01,ZUCLOPENTIXOL INJETAVEL 200MG,"69,50","20,00"
2018-05-01,BROMAZEPAM 3 MG .,"0,11","9.000,00"
2018-05-01,FIBRINOLISINA+DESOXIRRIBONUCLE,"38,50","30,00"
2018-05-01,ENVELOPE PARDO 36 X 26CM,"58,00","4,00"
2018-05-01,GAS ENGARRAFADO 13 KG,"65,50","2,00"
2018-05-01,CARGA OXIGENIO 10M3,"215,00","3,00"
2018-05-01,CARGA OXIGENIO 01M3,"103,00","1,00"
2018-05-01,PAO FRANCES.,"9,00","4,00"
2018-05-01,BANANA NANICA KG.,"2,64","20,00"
2018-05-01,ROSCA TIPO RAINHA..,"6,80","8,00"
2018-05-01,CLOR DE BENZALCONIO + CLOR SOD,"0,63","300,00"
2018-05-01,TIRAS REAGENTES,"0,40","2.150,00"
2018-05-01,TIRAS REAGENTES,"0,40","5.350,00"
2018-05-01,LEITE ESPECIAL 4,"19,50","24,00"
2018-05-01,GASOLINA COMUM OU ADITIVADA,"4,27","1.888,30"
2018-05-01,DIESEL S-10 COMUM,"3,48","709,08"
2018-05-01,GASOLINA COMUM OU ADITIVADA,"4,27","115,24"
2018-05-01,ABAIXADOR DE LINGUA,"2,60","100,00"
2018-05-01,LUGOL 5%,"36,00","5,00"
2018-05-01,AGULHA DESC. 25 X 7  (CX),"5,10","10,00"
2018-05-01,EQUIPO PARA SORO MACRO GOTAS,"0,55","1.000,00"
2018-05-01,APARELHO DE ESFIGMOMANOMETRO,"46,00","4,00"
2018-05-01,LUVAS PROCEDIMENTO M.,"13,55","10,00"
2018-05-01,SCALP 23G,"0,15","1.000,00"
2018-05-01,CARGA OXIGENIO 10M3,"215,00","3,00"
2018-05-01,CARGA OXIGENIO 01M3,"103,00","1,00"
2018-05-01,ETEXILATO DE DABIGATRANA 150MG,"3,95","330,00"
2018-05-01,AREIA FINA,"104,98","1,00"
2018-05-01,"CIMENTO CP-II E 32, SACO 50KG","19,50","10,00"
2018-06-01,GASOLINA COMUM OU ADITIVADA,"4,32","862,12"
2018-06-01,DIESEL S-10 COMUM,"3,64","163,96"
2018-06-01,GASOLINA COMUM OU ADITIVADA,"4,32","30,03"
2018-06-01,PNEU 175/70 R13.,"250,00","5,00"
2018-06-01,LEITE ESPECIAL 4,"19,50","24,00"
2018-06-01,ONDANSETRONA 8 MG,"1,80","90,00"
2018-06-01,PNEU 175/70 R14.,"388,00","2,00"
2018-06-01,CAFE EM PO.,"7,85","80,00"
2018-06-01,CAFE EM PO.,"7,85","80,00"
2018-06-01,DETERGENTE LIQUIDO 500ML,"1,38","48,00"
2018-06-01,ALCOOL ETILICO.,"4,52","72,00"
2018-06-01,LIMPADOR INSTANTANEO.,"1,65","48,00"
2018-06-01,LUVA DE LATEX PEQUENA,"1,89","20,00"
2018-06-01,LUVA DE LATEX MEDIA.,"1,89","20,00"
2018-06-01,LUVA DE LATEX GRANDE.,"1,89","20,00"
2018-06-01,LUVA DE LATEX EXTRA GRANDE.,"1,89","20,00"
2018-06-01,CARGA OXIGENIO 10M3,"215,00","3,00"
2018-06-01,CARGA OXIGENIO 01M3,"103,00","1,00"
2018-06-01,LEITE DE SOJA.,"6,34","24,00"
2018-06-01,LEITE ESPECIAL 8,"48,00","12,00"
2018-06-01,LEITE ESPECIAL 18,"16,50","18,00"
2018-06-01,LEITE ESPECIAL 4,"19,50","24,00"
2018-06-01,GASOLINA COMUM OU ADITIVADA,"4,32","47,86"
2018-06-01,GASOLINA COMUM OU ADITIVADA,"4,32","692,35"
2018-06-01,DIESEL S-10 COMUM,"3,64","180,06"
2018-06-01,ALBENDAZOL 40MG/ML,"1,07","200,00"
2018-06-01,ALBENDAZOL 400MG.,"0,41","100,00"
2018-06-01,ALOPURINOL 300MG.,"0,13","1.000,00"
2018-06-01,ATENOLOL 100MG.,"0,05","1.200,00"
2018-06-01,ATENOLOL 50MG.,"0,03","6.000,00"
2018-06-01,DIPIRONA SODICA 500MG,"0,07","3.000,00"
2018-06-01,LOSARTANA POTASSICA 50MG,"0,03","38.400,00"
2018-06-01,"METFORMINA, CLORIDRATO 850MG","0,04","9.600,00"
2018-06-01,ALOPURINOL 100MG.,"0,04","2.000,00"
2018-06-01,CLORETO DE SODIO 9MG/ML FRASCO,"2,80","400,00"
2018-06-01,DEXAMETASONA 1MG/G,"0,78","200,00"
2018-06-01,"DIGOXINA 0,25MG","0,05","500,00"
2018-06-01,FUROSEMIDA 40MG,"0,02","3.000,00"
2018-06-01,IBUPROFENO 50MG/ML,"1,06","100,00"
2018-06-01,PARACETAMOL 500MG.,"0,04","1.000,00"
2018-06-01,SULFAMETOXA+TRIMETOPR 400+80MG,"0,09","1.000,00"
2018-06-01,"VERAPAMIL, CLORIDRATO 80MG","0,06","3.000,00"
2018-06-01,SINVASTATINA 10MG.,"0,05","3.000,00"
2018-06-01,SINVASTATINA 40MG.,"0,11","3.000,00"
2018-06-01,AMOXICILINA 250MG/5ML,"3,85","300,00"
2018-06-01,"CLAVULANATO POTASSIO 50/12,5MG","6,92","30,00"
2018-06-01,"CLORPROMAZINA,CLORIDRATO 100MG","0,20","400,00"
2018-06-01,GLICLAZIDA 30MG,"0,10","9.000,00"
2018-06-01,"HALOPERIDOL, DECANOATO 50MG/ML","7,07","30,00"
2018-06-01,HALOPERIDOL 5MG,"0,07","2.000,00"
2018-06-01,"NORTRIPTILINA, CLORIDRATO 25MG","0,22","300,00"
2018-06-01,SINVASTATINA 20MG.,"0,06","18.000,00"
2018-06-01,VALPROATO DE SODIO 288MG,"0,22","6.000,00"
2018-06-01,VALPROATO DE SODIO 500MG,"0,61","3.000,00"
2018-06-01,ACIDO ACETILSALICILICO 100MG.,"0,02","5.000,00"
2018-06-01,AMIODARONA 200MG,"0,41","1.000,00"
2018-06-01,CARBAMAZEPINA 200MG.,"0,08","9.000,00"
2018-06-01,"CLONAZEPAM 2,5MG/ML","1,57","200,00"
2018-06-01,"DEXCLORFENIRAMINA, MALEATO 2MG","0,07","2.000,00"
2018-06-01,DIAZEPAM 10MG,"0,04","2.000,00"
2018-06-01,FENITOINA 100MG.,"0,17","3.000,00"
2018-06-01,"FLUOXETINA, CLORIDRATO 20MG","0,05","10.500,00"
2018-06-01,LEVOTIROXINA SODICA 100MCG.,"0,08","4.500,00"
2018-06-01,LEVOTIROXINA SODICA 25MCG.,"0,08","6.000,00"
2018-06-01,LEVOTIROXINA SODICA 50MCG.,"0,09","4.500,00"
2018-06-01,LORATADINA 1MG/ML,"1,90","50,00"
2018-06-01,"ISOSSORBIDA, MONONITRATO 40MG.","0,26","2.000,00"
2018-06-01,"SALBUTAMOL,SULFATO 100MCG/DOSE","6,78","20,00"
2018-06-01,"RANITIDINA, CLORIDRATO 15MG/ML","4,00","70,00"
2018-06-01,ALENDRONATO DE SODIO 70MG,"0,25","1.200,00"
2018-06-01,BECLOMETASONA 250MCG,"38,00","20,00"
2018-06-01,"CARVEDILOL 12,5MG","0,06","6.000,00"
2018-06-01,"CLOMIPRAMINA, CLORIDRATO 25MG","0,61","1.200,00"
2018-06-01,ESPIRONOLACTONA 25MG,"0,16","3.000,00"
2018-06-01,"HIDRALAZINA, CLORIDRATO 50MG","0,33","2.000,00"
2018-06-01,LEVODOPA+BENSERAZIDA 200+50MG,"1,40","600,00"
2018-06-01,VARFARINA SODICA 5MG.,"0,09","1.500,00"
2018-06-01,AMOXICILINA 500MG,"0,12","2.800,00"
2018-06-01,CEFALEXINA 500MG,"0,48","2.000,00"
2018-06-01,"CLORPROMAZINA, CLORIDRATO 25MG","0,18","400,00"
2018-06-01,FENOBARBITAL 100MG,"0,07","3.000,00"
2018-06-01,BENZILPENICILINA BENZATINA..,"7,00","50,00"
2018-06-01,"METOPROLOL, SUCCINATO 50MG","0,49","4.500,00"
2018-06-01,NITROFURANTOINA 100MG,"0,17","840,00"
2018-06-01,AZITROMICINA 40MG/ML (600 MG),"4,48","100,00"
2018-06-01,CIPROFLOXACINO CLORIDRATO,"0,18","900,00"
2018-06-01,METFORMINA CLORIDRATO 500MG,"0,09","4.800,00"
2018-06-01,SULFADIAZINA DE PRATA 10MG/G,"11,00","24,00"
2018-06-01,AMITRIPTILINA CLORIDRATO 25MG,"0,03","4.500,00"
2018-06-01,ANLODIPINO BESILATO 5MG,"0,03","9.000,00"
2018-06-01,AZITROMICINA 500MG,"0,48","1.200,00"
2018-06-01,FLUCONAZOL 150MG,"0,27","300,00"
2018-06-01,OMEPRAZOL 20MG CO,"0,07","20.160,00"
2018-06-01,GUARNICAO 21L.,"260,00","1,00"
2018-06-01,MUSSARELA FATIADA.,"22,00","2,00"
2018-06-01,BEBIDA DE FRUTA ADOCADA,"3,70","10,00"
2018-06-01,PRESUNTO COZIDO MAGRO FATIADO,"20,00","2,00"
2018-06-01,MELANCIA.,"1,99","7,00"
2018-06-01,PAO FRANCES.,"9,00","2,80"
2018-06-01,BANANA NANICA KG.,"2,64","5,00"
2018-06-01,GLIBENCLAMIDA 5MG,"0,02","3.000,00"
2018-06-01,LORATADINA 10MG,"0,07","720,00"
2018-06-01,AGUA MINERAL,"6,30","60,00"
2018-06-01,LEITE ESPECIAL 21,"17,75","24,00"
2018-06-01,LEITE ESPECIAL 14,"39,90","10,00"
2018-06-01,CARGA OXIGENIO 10M3,"215,00","2,00"
2018-06-01,CARGA OXIGENIO 01M3,"103,00","3,00"
2018-06-01,CAMISETA EPIDEMIOLOGIA - G,"21,00","2,00"
2018-06-01,CAMISETA ADM SAUDE - P,"21,00","2,00"
2018-06-01,CAMISETA SERVICOS GERAIS - M,"19,00","4,00"
2018-06-01,CAMISETA DIVERSA - TAM. P,"19,00","2,00"
2018-06-01,CAMISETA DIVERSA - TAM. G,"19,00","4,00"
2018-06-01,CAMISETA DIVERSA - TAM. GG,"19,00","5,00"
2018-06-01,CAMISETA AGENTE PSF - TAM. G,"21,20","4,00"
2018-06-01,MASSA CORRIDA - 18 LT.,"39,00","1,00"
2018-06-01,SOLVENTE PARA TINTA 05LT.,"41,90","1,00"
2018-06-01,"CIMENTO CP-II E 32, SACO 50KG","19,50","4,00"
2018-06-01,SELADOR ACRILICO P/ PAREDE COR,"44,50","1,00"
2018-06-01,BRITA 01,"97,40","1,00"
2018-06-01,TUBO 75MM ESGOTO,"36,30","2,00"
2018-06-01,FUNDO NIVELADOR,"57,90","2,00"
2018-06-01,"BOIA 1/2""","6,60","1,00"
2018-06-01,SUCO DE FRUTAS NATURAL 1L,"4,70","7,00"
2018-06-01,PAO TIPO INTEGRAL.,"4,98","8,00"
2018-07-01,CADEIRA PRESIDENTE,"780,00","3,00"
2018-07-01,CADEIRA EXECUTIVA,"490,00","2,00"
2018-07-01,CARGA OXIGENIO 10M3,"215,00","2,00"
2018-07-01,CARGA OXIGENIO 01M3,"103,00","2,00"
2018-07-01,OLEO HIDRAULICO 68,"161,00","4,00"
2018-07-01,OLEO SAE 5W30,"22,90","42,00"
2018-07-01,GASOLINA COMUM OU ADITIVADA,"4,79","1.824,53"
2018-07-01,DIESEL S-10 COMUM,"3,34","882,60"
2018-07-01,GASOLINA COMUM OU ADITIVADA,"4,79","101,70"
2018-07-01,000070889300 KIT EMBREAGEM,"63,59","1,00"
2018-07-01,GASOLINA COMUM OU ADITIVADA,"4,79","332,04"
2018-07-01,DIESEL S-10 COMUM,"3,34","10,12"
2018-07-01,MELANCIA.,"1,99","21,00"
2018-07-01,MAMAO QUALIDADE FORMOSA.,"3,34","6,00"
2018-07-01,PAO FRANCES.,"9,00","10,00"
2018-07-01,BANANA NANICA KG.,"2,64","20,00"
2018-07-01,ROSCA TIPO RAINHA..,"6,80","5,00"
2018-07-01,PAO TIPO INTEGRAL.,"4,98","4,00"
2018-07-01,BUTILBROMETO DE ESCOPOLAMINA E,"1,19","300,00"
2018-07-01,DIAZEPAM 5MG/2ML INJETAVEL,"0,51","200,00"
2018-07-01,GLICOSE 25% INJETAVEL 10ML,"0,19","200,00"
2018-07-01,SACARATO DE HIDROXIDO FERRICO,"5,46","400,00"
2018-07-01,AGUA DESTILADA INJETAVEL 10ML,"0,12","500,00"
2018-07-01,GLICOSE 50% INJETAVEL 10ML,"0,22","200,00"
2018-07-01,SORO GLICOSADO 5% FRASCO 100ML,"2,01","50,00"
2018-07-01,"SORO GLICOSADO 0,5% 250 ML","2,26","100,00"
2018-07-01,GEL PARA CURATIVOS,"24,00","10,00"
2018-07-01,ACIDO ACETICO 2% FRASCO 01 LT.,"12,00","1,00"
2018-07-01,"COLAGENASE+CLORANFENICOL 0,6U/","9,00","50,00"
2018-07-01,COLETOR MATERIAL PERFUROCORTAN,"2,30","100,00"
2018-07-01,CARGA OXIGENIO 10M3,"195,00","2,00"
2018-07-01,TUBO SOLD. PVC 20MM,"9,42","3,00"
2018-07-01,MASSA CORRIDA - 18 LT.,"39,00","3,00"
2018-07-01,SOLVENTE PARA TINTA 05LT.,"41,90","1,00"
2018-07-01,SILICONE NEUTRO PARA PEDRA E,"14,95","1,00"
2018-07-01,"CIMENTO CP-II E 32, SACO 50KG","19,50","5,00"
2018-07-01,SELADOR ACRILICO P/ PAREDE COR,"44,50","2,00"
2018-07-01,IMPRESSORA COM TANQUE DE TINTA,"1.003,20","4,00"
2018-07-01,ESTABILIZADOR.,"87,80","1,00"
2018-07-01,ALMOFADA PARA CARIMBO N.03,"5,45","2,00"
2018-07-01,PASTA CATALAGO,"22,00","5,00"
2018-07-01,MUSSARELA FATIADA.,"22,00","2,00"
2018-07-01,BEBIDA DE FRUTA ADOCADA,"3,70","6,00"
2018-07-01,LEITE EMBALAGEM LONGA VIDA.,"3,89","10,00"
2018-07-01,PRESUNTO COZIDO MAGRO FATIADO,"20,00","2,00"
2018-07-01,CAFE EM PO.,"7,85","4,00"
2018-07-01,AGUA DESTILADA INJETAVEL 10ML,"0,12","400,00"
2018-07-01,GLICOSE 50% INJETAVEL 10ML,"0,22","200,00"
2018-07-01,LEITE ESPECIAL 21,"17,75","24,00"
2018-07-01,LEITE ESPECIAL 16,"29,90","24,00"
2018-07-01,LEITE ESPECIAL 17,"19,50","24,00"
2018-07-01,LEITE ESPECIAL 4,"19,50","24,00"
2018-07-01,LEITE DE SOJA.,"6,34","24,00"
2018-07-01,SALGADINHOS DIVERSOS CN.,"34,00","5,00"
2018-07-01,PIZZA GRANDE.,"17,99","5,00"
2018-07-01,PNEU 175/70 R14.,"388,00","2,00"
2018-07-01,REFRIGERANTE PET COM 02 LTS,"3,00","12,00"
2018-07-01,PAO TIPO INTEGRAL.,"4,98","6,00"
2018-07-01,SUCO DE FRUTAS NATURAL 1L,"4,70","15,00"
2018-07-01,"MONITOR MINIMO 18,5""","440,00","1,00"
2018-07-01,PAO FRANCES C.PRESUNTO E MUSSA,"2,50","80,00"
2018-07-01,AGUA SANITARIA FR 2LT,"2,40","84,00"
2018-07-01,DESINFETANTE 02LITROS,"2,90","48,00"
2018-07-01,PAPEL TOALHA INTERFOLHA,"39,70","6,00"
2018-07-01,CLORO LIQUIDO.,"2,00","84,00"
2018-07-01,VASSOURA CAIPIRA.,"11,25","4,00"
2018-07-01,PAPEL TOALHA MULTIUSO,"2,96","60,00"
2018-07-01,FECHADURA DE PISO OU CENTRO,"70,00","2,00"
2018-07-01,TUBO DE ALUMINIO CROMADO 5X5CM,"25,00","15,00"
2018-07-01,TUBO ALUMINIO PRETO FOSCO 5X10,"50,00","6,00"
2018-07-01,PUXADORES DE PORTA OU GAVETA,"5,00","8,00"
2018-07-01,ACRILICO,"55,00","8,10"
2018-07-01,"PERFIL ""PU"" PRETO DE ALUMINIO","6,00","7,00"
2018-07-01,MOLDURA DE ALUMINIO 2CM,"10,00","12,00"
2018-07-01,KIT BASCULANTE,"50,00","2,00"
2018-07-01,CANTONEIRA.,"5,00","7,00"
2018-07-01,TAPA VENTO,"10,00","13,00"
2018-07-01,VIDRO TEMPERADO JATEADO 8MM,"209,00","6,60"
2018-07-01,ROLDANA DE PORTA,"5,00","22,00"
2018-07-01,ESCOVA DE VEDACAO,"4,00","20,00"
2018-07-01,BORRACHA DE SUSTENTACAO VIDRO,"12,00","12,00"
2018-08-01,COPIA DE CHAVE,"7,50","8,00"
2018-08-01,SALGADINHOS DIVERSOS CN.,"34,00","4,00"
2018-08-01,SUCO DE FRUTAS NATURAL 1L,"4,70","12,00"
2018-08-01,AMOXICILINA 500 MG .,"0,15","3.000,00"
2018-08-01,CARBAMAZEPINA 200 MG,"0,07","6.000,00"
2018-08-01,"CARVEDILOL 3,125 MG .","0,07","3.000,00"
2018-08-01,CLORTALIDONA 25 .,"0,20","2.800,00"
2018-08-01,COMPLEXO B DRAGEAS .,"0,04","10.000,00"
2018-08-01,FENOBARBITAL 100 MG .,"0,10","8.000,00"
2018-08-01,LEVOTIROXINA 25 MCG .,"0,08","9.000,00"
2018-08-01,LEVOTIROXINA 50MCG .,"0,08","6.000,00"
2018-08-01,LORATADINA 10 MG .,"0,06","720,00"
2018-08-01,NIMESULIDA 100 MG .,"0,08","6.000,00"
2018-08-01,PROMETAZINA 25 MG .,"0,10","2.000,00"
2018-08-01,SULFATO FERROSO 40 MG,"0,04","3.000,00"
2018-08-01,ACEBROFILINA 50MG/5ML XAROPE,"4,26","100,00"
2018-08-01,ALPRAZOLAM 1 MG,"0,10","5.400,00"
2018-08-01,AMIODARONA 200 MG .,"0,33","1.500,00"
2018-08-01,AMITRIPTILINA 25 MG .,"0,03","5.000,00"
2018-08-01,CEFALEXINA 500 MG .,"0,30","2.000,00"
2018-08-01,CETOCOANZOL CREME 30 G,"1,52","100,00"
2018-08-01,CIMETIDINA 200 MG .,"0,14","1.200,00"
2018-08-01,CLORPROMAZINA 100 MG .,"0,19","400,00"
2018-08-01,DICLOFENACO DE SODIO 50 MG.,"0,03","1.000,00"
2018-08-01,"DIGOXINA 0,25 MG .","0,04","500,00"
2018-08-01,DILTIAZEM 60 MG.,"0,12","2.000,00"
2018-08-01,ENALAPRIL MALEATO 20 MG .,"0,04","5.000,00"
2018-08-01,GLIMEPIRIDA 4 MG.,"0,21","3.000,00"
2018-08-01,LEVOTIROXINA 75 MCG .,"0,17","1.440,00"
2018-08-01,MELOXICAM 15 MG .,"0,11","2.000,00"
2018-08-01,OLANZAPINA 10 MG .,"0,54","300,00"
2018-08-01,PAROXETINA 20 MG .,"0,18","9.000,00"
2018-08-01,PROPRANOLOL 40 MG .,"0,02","9.000,00"
2018-08-01,SINVASTATINA 40 MG .,"0,11","3.000,00"
2018-08-01,TOPIRAMATO 25 MG .,"0,17","4.500,00"
2018-08-01,VITAMINA A + D GOTAS .,"3,04","50,00"
2018-08-01,TOPIRAMATO 50MG,"0,18","6.000,00"
2018-08-01,"HALOPERIDOL, DECANOATO 50MG/ML","6,90","25,00"
2018-08-01,ACIDO VALPROICO 500MG,"0,43","2.000,00"
2018-08-01,ACIDO VALPROICO 250 MG,"0,22","3.000,00"
2018-08-01,"CARVEDILOL 12,5 MG .","0,10","6.000,00"
2018-08-01,DIVALPROATO DE SODIO 250 MG .,"0,85","3.000,00"
2018-08-01,HALOPERIDOL 5 MG .,"0,08","600,00"
2018-08-01,LOSARTAM 25 MG,"0,26","4.500,00"
2018-08-01,OXCARBAZEPINA 300 MG .,"0,58","1.500,00"
2018-08-01,OXCARBAZEPINA 600 MG .,"1,13","900,00"
2018-08-01,RISPERIDONA 1 MG .,"0,12","1.000,00"
2018-08-01,RISPERIDONA 2 MG .,"0,12","4.000,00"
2018-08-01,GLICAZIDA 30MG,"0,24","6.000,00"
2018-08-01,DIVALPROATO DE SODIO 500MG ER,"2,30","300,00"
2018-08-01,ACICLOVIR 50MG/G CREME 10G,"3,00","50,00"
2018-08-01,AMBROXOL 30MG/5ML XAROPE 100,"1,64","100,00"
2018-08-01,AMOXICILINA 250MG/5ML 60 ML,"3,88","100,00"
2018-08-01,ANLODIPINA 10 MG,"0,05","1.800,00"
2018-08-01,ATENOLOL 50 MG .,"0,03","6.000,00"
2018-08-01,BROMOPRIDA 10 MG .,"0,16","2.400,00"
2018-08-01,ATENOLOL 100 MG .,"0,05","600,00"
2018-08-01,CETOCONAZOL + BETAMETASONA +,"6,68","80,00"
2018-08-01,CETOCONAZOL 200 MG .,"0,13","200,00"
2018-08-01,CILOSTAZOL 100 MG .,"0,49","900,00"
2018-08-01,CILOSTAZOL 50 MG .,"0,31","1.500,00"
2018-08-01,CLONAZEPAM 2 MG .,"0,05","8.640,00"
2018-08-01,"CLONAZEPAM 0,5 MG .","0,06","5.000,00"
2018-08-01,CLOPIDOGREL 75 MG .,"0,33","5.600,00"
2018-08-01,CLORPROMAZINA 25 MG .,"0,21","1.000,00"
2018-08-01,DIAZEPAM 10 MG .,"0,08","3.000,00"
2018-08-01,DICLOFENACO POTASSICO 50 MG .,"0,06","600,00"
2018-08-01,DIMETICONA 75MG/ML,"0,77","200,00"
2018-08-01,DIOSMINA + HESPERIDINA 450MG/,"0,34","18.000,00"
2018-08-01,DIPIRONA 500 MG.,"0,07","3.000,00"
2018-08-01,DOMPERIDONA 10 MG .,"0,06","9.000,00"
2018-08-01,FLUNARIZINA 10 MG .,"0,08","1.000,00"
2018-08-01,GINKGO BILOBA 80 MG.,"0,16","1.500,00"
2018-08-01,HALOPERIDOL 1 MG .,"0,11","400,00"
2018-08-01,HALOPERIDOL 2MG/ML GOTAS 20ML,"2,33","10,00"
2018-08-01,BUTILBROMETO DE ESCOPALAMINA +,"0,37","1.200,00"
2018-08-01,IMIPRAMINA 25 MG .,"0,27","400,00"
2018-08-01,LAMOTRIGINA 100 MG .,"0,27","4.500,00"
2018-08-01,LAMOTRIGINA 50 MG .,"0,19","6.000,00"
2018-08-01,LORAZEPAM 2 MG .,"0,07","3.000,00"
2018-08-01,METFORMINA 500 MG .,"0,06","4.800,00"
2018-08-01,PARACETAMOL + CARISOPRODOL +,"0,13","1.200,00"
2018-08-01,QUETIAPINA 25 MG .,"0,18","5.600,00"
2018-08-01,SACCHAROMYCES BOULARDII 100 MG,"0,45","1.200,00"
2018-08-01,VERAPAMIL 80 MG .,"0,08","1.800,00"
2018-08-01,ACIDO ACETILSALICILICO 100 MG,"0,02","5.000,00"
2018-08-01,ALENDRONATO DE SODIO 70 MG,"0,25","720,00"
2018-08-01,AZITROMICINA 500 MG .,"0,50","600,00"
2018-08-01,ENALAPRIL 10 MG .,"0,03","3.000,00"
2018-08-01,FUROSEMIDA 40 MG .,"0,03","6.000,00"
2018-08-01,HIDROCLOROTIAZIDA 25 MG .,"0,02","10.000,00"
2018-08-01,LOSARTAM 50 MG .,"0,03","9.600,00"
2018-08-01,METFORMINA 850 MG .,"0,05","9.600,00"
2018-08-01,NIFEDIPINA RETARD 20 MG .,"0,10","2.000,00"
2018-08-01,SERTRALINA 50 MG .,"0,10","9.800,00"
2018-08-01,AMINOFILINA 100MG,"0,09","3.000,00"
2018-08-01,"ETINILESTRADIOL 0,30 MG +","0,05","300,00"
2018-08-01,NISTATINA 25.000 UI CREME.,"3,60","100,00"
2018-08-01,TONER BROTHER TN580,"26,00","2,00"
