BuildingArea,YearBuilt,Car,Address,Postcode,Rooms,Price,Date
271.0,2008.0,2.0,38 Bennett St,3078.0,4,2100000.0,19/11/2016
131.0,2010.0,1.0,2c Hamilton St,3078.0,3,865000.0,22/05/2016
60.0,1960.0,1.0,5/5 Yarana Rd,3078.0,2,390000.0,22/05/2016
,,0.0,7/7 Chandler Hwy,3078.0,2,650000.0,24/09/2016
61.0,1965.0,1.0,1/14 Fulham Rd,3078.0,2,512000.0,25/02/2017
,,2.0,22 Lowther St,3078.0,3,1165000.0,27/06/2016
272.0,1930.0,2.0,11 Margaret Gr,3078.0,4,1900000.0,27/11/2016
,,0.0,6 Naroon Rd,3078.0,3,1485000.0,28/08/2016
210.0,1920.0,3.0,42 Shiers St,3078.0,4,1950000.0,30/07/2016
242.0,2015.0,1.0,158 Queen St,3018.0,3,520000.0,3/09/2016
268.0,2005.0,3.0,59 Bracken Gr,3018.0,5,1525000.0,3/12/2016
125.0,2013.0,2.0,1/123 Blyth St,3018.0,2,720000.0,4/02/2016
120.0,1930.0,2.0,4 Blyth St,3018.0,3,1120000.0,4/03/2017
,,4.0,20 Linnet St,3018.0,4,780000.0,4/06/2016
220.0,1962.0,6.0,29 Rose St,3018.0,4,1780000.0,4/06/2016
94.0,1955.0,2.0,1/170 Blyth St,3018.0,3,630000.0,6/08/2016
,,1.0,5/35 Grieve Pde,3018.0,2,406000.0,6/08/2016
123.0,1955.0,1.0,156 Maidstone St,3018.0,3,660000.0,7/05/2016
,,1.0,11 Keeshan Ct,3018.0,3,683500.0,7/11/2016
93.0,1988.0,1.0,1/136 Queen St,3018.0,2,580000.0,8/10/2016
22.0,1953.0,4.0,173 Queen St,3018.0,3,1335000.0,8/10/2016
,1997.0,2.0,1/265 Queen St,3018.0,3,800000.0,8/10/2016
76.0,1990.0,1.0,3/26 Grieve Pde,3018.0,2,510000.0,10/09/2016
,,2.0,261 Queen St,3018.0,4,1070000.0,10/09/2016
57.0,1980.0,2.0,4/5 Rose St,3018.0,2,425000.0,10/09/2016
,,2.0,1/60 David St,3018.0,3,605000.0,10/12/2016
152.0,,2.0,1A Merritt Ct,3018.0,3,705000.0,11/02/2017
65.0,1965.0,1.0,4/31 Millers Rd,3018.0,2,391000.0,11/02/2017
,,1.0,111/112 Pier St,3018.0,2,440000.0,11/02/2017
130.0,1950.0,2.0,24 Wren St,3018.0,4,845000.0,11/02/2017
176.0,,2.0,1/152 Blyth St,3018.0,3,743000.0,12/11/2016
141.0,2014.0,1.0,4/57 Blyth St,3018.0,3,730000.0,13/08/2016
,1960.0,4.0,164 Maidstone St,3018.0,3,635000.0,14/05/2016
,,1.0,3/25 Rayner St,3018.0,2,620000.0,14/05/2016
77.0,1990.0,1.0,3/46 Sargood St,3018.0,2,447000.0,15/10/2016
,,1.0,1/57 Blyth St,3018.0,3,730000.0,16/04/2016
87.0,1950.0,2.0,22 Fenfield St,3018.0,3,678000.0,16/04/2016
76.0,2013.0,1.0,5/8 David St,3018.0,2,580000.0,16/07/2016
,,2.0,1/28 Seves St,3018.0,3,712000.0,17/09/2016
136.0,1965.0,2.0,27 McIntyre Dr,3018.0,3,840000.0,18/03/2017
,,2.0,4 Boyd St,3018.0,3,980000.0,19/11/2016
,,0.0,12 Spear Ct,3018.0,3,605100.0,22/05/2016
,,1.0,185 Queen St,3018.0,3,880000.0,22/08/2016
113.0,2007.0,1.0,3/20 Mulga St,3018.0,3,577000.0,23/04/2016
,,0.0,51 Millers Rd,3018.0,4,1030000.0,25/02/2017
,,2.0,2/119 Railway St N,3018.0,3,605000.0,25/02/2017
,,2.0,24 McIntyre Dr,3018.0,3,753000.0,27/06/2016
100.0,1950.0,1.0,104 Maidstone St,3018.0,2,857000.0,27/11/2016
,,1.0,49 Bent St,3018.0,3,1500000.0,28/05/2016
3.0,2014.0,1.0,5/57 Blyth St,3018.0,3,730000.0,28/05/2016
,,4.0,15 Kookaburra St,3018.0,3,900000.0,28/05/2016
,,2.0,219 Civic Pde,3018.0,3,740000.0,28/08/2016
,1970.0,3.0,3 Curtin Ct,3018.0,4,931000.0,28/08/2016
91.0,1996.0,1.0,2/60 David St,3018.0,2,535600.0,30/07/2016
251.0,1965.0,6.0,45 Hearn St,3025.0,5,1085000.0,3/09/2016
117.0,1970.0,2.0,4 Knapp St,3025.0,3,781000.0,3/09/2016
,,3.0,21 Hatherley Gr,3025.0,3,750000.0,4/03/2017
77.0,2009.0,1.0,3/66 Marion St,3025.0,2,421000.0,4/03/2017
,,3.0,153 Mills St,3025.0,3,1405000.0,4/03/2017
167.0,1967.0,2.0,33 Carthy St,3025.0,3,683000.0,4/06/2016
,,3.0,16 Harris St,3025.0,3,623000.0,4/06/2016
130.0,2012.0,1.0,1/5 Little St,3025.0,3,720000.0,6/08/2016
118.0,1970.0,1.0,1/95 Mills St,3025.0,3,588000.0,7/05/2016
116.0,1960.0,3.0,5 Binns St,3025.0,3,710000.0,7/11/2016
169.0,1965.0,4.0,25 Allan St,3025.0,4,875000.0,8/10/2016
,,3.0,21 Hatherley Gr,3025.0,3,700000.0,10/12/2016
,1965.0,1.0,1/256 Mason St,3025.0,2,640000.0,11/03/2017
,,4.0,21 Allan St,3025.0,4,650000.0,12/06/2016
109.0,2012.0,2.0,2/36 May St,3025.0,3,675000.0,14/05/2016
97.0,1960.0,2.0,11 Beevers St,3025.0,3,708000.0,15/10/2016
,,4.0,10 Murphy St,3025.0,4,965000.0,15/10/2016
,,3.0,16 Beevers St,3025.0,3,680000.0,19/11/2016
603.0,,3.0,21 Neal Ct,3025.0,3,770000.0,19/11/2016
,,2.0,31 Duosa Rd,3025.0,3,923000.0,22/05/2016
170.0,2008.0,4.0,252 Millers Rd,3025.0,4,693000.0,22/05/2016
100.0,2010.0,2.0,1/156 Chambers Rd,3025.0,3,620000.0,22/08/2016
157.0,1960.0,1.0,2 Gadsden St,3025.0,3,728500.0,22/08/2016
160.0,1950.0,1.0,24 Hansen St,3025.0,3,931000.0,22/08/2016
,2008.0,4.0,4 Prismall St,3025.0,3,988000.0,22/08/2016
,,2.0,122 McIntosh Rd,3025.0,3,590000.0,23/04/2016
,,2.0,35 May St,3025.0,2,610000.0,24/09/2016
130.0,1960.0,3.0,6 Hill St,3025.0,3,815000.0,25/02/2017
,,2.0,84 May St,3025.0,4,970000.0,25/02/2017
,,3.0,155 Chambers Rd,3025.0,4,760000.0,27/06/2016
,,1.0,268d Mason St,3025.0,4,847500.0,27/06/2016
158.0,1960.0,4.0,5 Cresser St,3025.0,4,1200000.0,27/11/2016
,,1.0,107 McIntosh Rd,3025.0,3,700000.0,27/11/2016
,,1.0,10 Knapp St,3025.0,3,625000.0,28/05/2016
70.0,1970.0,1.0,4/221 Blackshaws Rd,3025.0,2,292000.0,28/08/2016
76.0,1964.0,1.0,8/19 Mercer Rd,3143.0,2,599000.0,3/09/2016
,,0.0,1/42 Adelaide St,3143.0,2,550000.0,3/12/2016
100.0,1998.0,2.0,14/71 Denbigh Rd,3143.0,3,995000.0,3/12/2016
105.0,2000.0,2.0,4/769 High St,3143.0,3,1205000.0,3/12/2016
150.0,1889.0,2.0,7 Llaneast St,3143.0,3,1939000.0,3/12/2016
,,0.0,9/55 Northcote Rd,3143.0,1,421500.0,3/12/2016
116.0,1888.0,1.0,28 Cambridge St,3143.0,3,1870000.0,4/03/2017
,,2.0,3/16 Fulton St,3143.0,2,678000.0,4/03/2017
165.0,1995.0,2.0,3/20 Mercer Rd,3143.0,3,1918000.0,4/03/2017
,,1.0,1/77 Wattletree Rd,3143.0,2,660000.0,4/03/2017
116.0,1910.0,1.0,12 Willis St,3143.0,3,2050000.0,4/03/2017
,,2.0,8/71 Denbigh Rd,3143.0,2,700000.0,4/06/2016
,2006.0,2.0,11/17 Myamyn St,3143.0,2,3625000.0,4/06/2016
,1934.0,2.0,526 Orrong Rd,3143.0,4,3000000.0,4/06/2016
,,2.0,553 Dandenong Rd,3143.0,5,1525000.0,7/05/2016
14.0,1970.0,1.0,9/19 Mercer Rd,3143.0,3,735000.0,7/05/2016
,,1.0,6/26 Mercer Rd,3143.0,2,825000.0,7/05/2016
,,2.0,538a Orrong Rd,3143.0,3,1586000.0,7/05/2016
,1960.0,1.0,18/41 Kooyong Rd,3143.0,2,645000.0,8/10/2016
107.0,1900.0,1.0,10 William St,3143.0,1,1435000.0,8/10/2016
38.0,1975.0,1.0,15/405 Dandenong Rd,3143.0,1,280000.0,10/09/2016
,,1.0,1/2 Armadale St,3143.0,1,400000.0,10/12/2016
,,2.0,4/20 Mercer Rd,3143.0,2,1780000.0,10/12/2016
73.0,1970.0,1.0,8/58 Sutherland Rd,3143.0,2,592500.0,10/12/2016
96.0,1910.0,0.0,40 New St,3143.0,2,1210000.0,12/11/2016
222.0,1900.0,2.0,35 Northcote Rd,3143.0,4,2801000.0,12/11/2016
,,0.0,7/53 Wattletree Rd,3143.0,1,390000.0,14/05/2016
121.0,1910.0,2.0,791 High St,3143.0,3,1800000.0,15/10/2016
163.0,1900.0,2.0,25 Llaneast St,3143.0,4,2200000.0,15/10/2016
,,1.0,8/569 Orrong Rd,3143.0,1,324000.0,16/04/2016
516.0,1935.0,4.0,367 Dandenong Rd,3143.0,6,5525000.0,17/09/2016
,,2.0,34a Rose St,3143.0,2,1125000.0,17/09/2016
,,1.0,42 Rose St,3143.0,3,2250000.0,17/09/2016
,,0.0,12 Auburn Gr,3143.0,3,2360000.0,18/03/2017
,,0.0,31 Hume St,3143.0,2,1900000.0,18/03/2017
53.0,1970.0,1.0,10/581 Orrong Rd,3143.0,1,440000.0,18/03/2017
,1966.0,1.0,7/579 Dandenong Rd,3143.0,2,490000.0,18/06/2016
,,1.0,19 Glassford St,3143.0,3,2365000.0,18/06/2016
106.0,1900.0,2.0,14 New St,3143.0,3,1300000.0,18/06/2016
,,2.0,7/501 Orrong Rd,3143.0,3,732000.0,18/06/2016
74.0,1969.0,1.0,6/51 Armadale St,3143.0,2,704000.0,19/11/2016
98.0,1970.0,1.0,12/41 Kooyong Rd,3143.0,2,620000.0,19/11/2016
108.0,1900.0,2.0,63 Denbigh Rd,3143.0,3,1900000.0,22/05/2016
,,1.0,13/56 Sutherland Rd,3143.0,1,315000.0,22/08/2016
,,1.0,7/22 Derby St,3143.0,1,450000.0,24/09/2016
80.0,1970.0,1.0,10/51 Armadale St,3143.0,2,710000.0,25/02/2017
,1953.0,1.0,2/377 Dandenong Rd,3143.0,2,872000.0,25/02/2017
88.0,1970.0,1.0,1/14 Denbigh Rd,3143.0,2,598000.0,25/02/2017
80.0,1920.0,2.0,75 Sutherland Rd,3143.0,3,1285000.0,25/02/2017
,,2.0,61 Union St,3143.0,4,3660000.0,25/02/2017
76.0,1970.0,1.0,1/403 Dandenong Rd,3143.0,2,520000.0,27/06/2016
251.0,1900.0,2.0,44 Denbigh Rd,3143.0,4,3625000.0,27/11/2016
333.0,2000.0,3.0,44 Hampden Rd,3143.0,4,4200000.0,27/11/2016
3.0,2000.0,2.0,3/769 High St,3143.0,3,1101000.0,27/11/2016
285.0,1998.0,2.0,4 Mercer Rd,3143.0,3,3512500.0,27/11/2016
,,4.0,17 Kooyong Rd,3143.0,4,2000000.0,28/05/2016
91.0,1940.0,1.0,1/31 Mercer Rd,3143.0,3,869000.0,28/05/2016
,,2.0,16 Llaneast St,3143.0,5,2810000.0,28/08/2016
,,1.0,2/532 Orrong Rd,3143.0,2,565000.0,28/08/2016
53.0,2013.0,1.0,5/555 Orrong Rd,3143.0,1,567000.0,28/08/2016
,,0.0,3/50 Denbigh Rd,3143.0,2,546000.0,30/07/2016
,1980.0,1.0,7/844 Malvern Rd,3143.0,2,471500.0,30/07/2016
,,2.0,2/43 Roxburgh St,3032.0,2,455000.0,3/09/2016
108.0,1920.0,2.0,30 Rothwell St,3032.0,3,940000.0,3/12/2016
62.0,1980.0,1.0,9/5 Rothwell St,3032.0,2,467000.0,3/12/2016
174.0,1910.0,2.0,7 Francis St,3032.0,3,1380000.0,4/03/2017
62.0,1970.0,1.0,2/21 Harold St,3032.0,2,490000.0,4/03/2017
270.0,1900.0,1.0,44 The Parade,3032.0,4,1850000.0,4/03/2017
,1938.0,2.0,97 Walter St,3032.0,3,1284000.0,4/03/2017
128.0,1900.0,2.0,98 Epsom Rd,3032.0,3,971000.0,4/06/2016
77.0,1890.0,1.0,8 Geddes St,3032.0,2,710000.0,4/06/2016
435.0,1887.0,2.0,75 Maribyrnong Rd,3032.0,6,2425000.0,4/06/2016
92.0,1920.0,1.0,119 Roseberry St,3032.0,2,750000.0,4/06/2016
109.0,1900.0,1.0,10 Fenton St,3032.0,2,1053000.0,6/08/2016
168.0,1900.0,1.0,10 McCully St,3032.0,3,1377000.0,6/08/2016
125.0,1904.0,2.0,120 Epsom Rd,3032.0,3,970000.0,7/05/2016
,,1.0,47 Hurtle St,3032.0,2,940000.0,7/05/2016
79.0,1890.0,1.0,63 Kent St,3032.0,2,751000.0,7/05/2016
102.0,1900.0,1.0,4 The Parade,3032.0,2,950000.0,7/05/2016
90.0,1995.0,2.0,1/17 Epsom Rd,3032.0,2,685000.0,7/11/2016
148.0,1960.0,2.0,41 Monash St,3032.0,3,1230000.0,8/10/2016
,,1.0,2/78 Ormond Rd,3032.0,2,636500.0,8/10/2016
,,0.0,83 Roseberry St,3032.0,3,910000.0,8/10/2016
87.0,1900.0,1.0,51 Francis St,3032.0,2,770000.0,10/09/2016
,2011.0,2.0,33 Dalgety Dr,3032.0,3,960000.0,10/12/2016
185.0,1890.0,1.0,12 Mirams St,3032.0,4,890000.0,10/12/2016
,,1.0,2 The Parade,3032.0,2,965000.0,10/12/2016
131.0,1900.0,1.0,78 The Parade,3032.0,3,1440000.0,11/02/2017
,,0.0,11 Ascot St,3032.0,2,955000.0,11/03/2017
,2010.0,1.0,24/54 Epsom Rd,3032.0,2,450000.0,12/11/2016
,1950.0,2.0,2 Farncomb St,3032.0,3,801000.0,12/11/2016
120.0,1955.0,2.0,26 Newsom St,3032.0,3,1000000.0,12/11/2016
147.0,1950.0,2.0,8 Pentland St,3032.0,3,1435000.0,12/11/2016
58.0,1972.0,1.0,8/129 The Parade,3032.0,1,390000.0,12/11/2016
139.0,1920.0,2.0,52 Monash St,3032.0,3,1425000.0,13/08/2016
232.0,1978.0,2.0,58 Fenton St,3032.0,4,1340000.0,14/05/2016
117.0,1910.0,1.0,70 Munro St,3032.0,3,955000.0,14/05/2016
195.0,1920.0,5.0,125 Epsom Rd,3032.0,4,1100000.0,15/10/2016
,,2.0,33 Hockey La,3032.0,3,1255000.0,15/10/2016
62.0,1978.0,1.0,3/28 Ormond Rd,3032.0,2,432000.0,15/10/2016
204.0,1890.0,2.0,7 Angler Pde,3032.0,4,1640000.0,16/04/2016
286.0,1900.0,1.0,26 Ayr St,3032.0,6,1430000.0,16/04/2016
104.0,1995.0,1.0,2/127 Epsom Rd,3032.0,2,610000.0,16/04/2016
127.0,1950.0,1.0,57 The Parade,3032.0,3,940000.0,16/04/2016
110.0,1920.0,1.0,62 Mirams St,3032.0,3,890000.0,16/07/2016
149.0,1930.0,2.0,67 Hurtle St,3032.0,3,1180000.0,17/09/2016
180.0,1939.0,2.0,95 Walter St,3032.0,4,1480000.0,17/09/2016
,,1.0,15 Bayview Tce,3032.0,2,1150000.0,18/03/2017
,,3.0,57 Monash St,3032.0,3,1350000.0,18/03/2017
,,2.0,54 South St,3032.0,5,1905000.0,18/03/2017
132.0,2015.0,1.0,3/8 Walter St,3032.0,2,865000.0,18/03/2017
,1998.0,1.0,2/225 Maribyrnong Rd,3032.0,2,705000.0,18/06/2016
62.0,1975.0,1.0,12/9 Milton St,3032.0,2,442000.0,18/06/2016
,,1.0,107/8 Burrowes St,3032.0,2,540000.0,19/11/2016
110.0,1920.0,2.0,21A Geddes St,3032.0,3,1037500.0,19/11/2016
160.0,2013.0,2.0,1/20 Newsom St,3032.0,3,1050000.0,19/11/2016
65.0,1970.0,1.0,4/27 Roseberry St,3032.0,2,440000.0,19/11/2016
,,1.0,126 The Parade,3032.0,2,1010000.0,19/11/2016
158.0,1900.0,0.0,43 Bloomfield Rd,3032.0,4,1430000.0,22/05/2016
,,1.0,6/17 Geddes St,3032.0,2,570000.0,22/05/2016
,,1.0,1/60 The Parade,3032.0,2,690000.0,22/05/2016
,,2.0,45 Bloomfield Rd,3032.0,3,1291000.0,23/04/2016
157.0,1900.0,1.0,21 Middle St,3032.0,3,1130000.0,23/04/2016
104.0,1910.0,1.0,78 Francis St,3032.0,3,1135000.0,24/09/2016
147.0,1920.0,1.0,25 Geddes St,3032.0,4,950000.0,24/09/2016
148.0,,1.0,106/246 Union Rd,3032.0,3,790000.0,24/09/2016
69.0,2012.0,1.0,18/54 Epsom Rd,3032.0,2,390000.0,25/02/2017
155.0,1920.0,1.0,15 Mirams St,3032.0,4,1345000.0,25/02/2017
168.0,1900.0,2.0,44 Walter St,3032.0,3,1381500.0,25/02/2017
172.0,2011.0,2.0,25 Dalgety Dr,3032.0,3,940000.0,26/07/2016
177.0,2010.0,1.0,7 Dalgety Dr,3032.0,3,995000.0,26/07/2016
,,3.0,37 Epsom Rd,3032.0,3,1050000.0,26/07/2016
120.0,1940.0,1.0,6 Waller Ct,3032.0,3,786000.0,26/07/2016
108.0,1910.0,3.0,17 Ascot St,3032.0,2,705000.0,27/06/2016
77.0,1900.0,1.0,73 Kent St,3032.0,2,760000.0,27/06/2016
,1972.0,3.0,9/129 The Parade,3032.0,3,487500.0,27/06/2016
144.0,2003.0,2.0,1 East St,3032.0,3,1000000.0,27/11/2016
